,a1,a2,a3,g1,g2,g3,y
86,4.285468,8.186403,2.949065,-0.01306545,-0.002780605,-0.01333899,0
87,4.236016,8.230199,3.065817,-0.02444444,0.009720674,-0.02166357,0
88,4.396114,8.414411,3.036943,-0.03012619,0.01987381,-0.02555556,0
89,4.366543,8.464691,3.000617,-0.009253932,-0.01247091,-0.01843562,0
90,4.343174,8.241461,2.985365,-0.006111264,-0.004722757,-0.009722604,0
91,4.397996,8.166012,2.99,-0.004814993,0.01185167,-0.01037055,0
92,4.352508,8.212476,3.024995,-0.01528616,0.003516656,-0.01852224,0
93,4.42389,8.518587,3.025303,-0.009959633,0.01043006,-0.02414428,0
94,4.425658,8.398553,2.955921,-0.001952722,0.006160779,-0.0191915,0
95,4.31,8.181582,2.914747,0.005774474,-0.007558859,-0.01422553,0
96,4.327069,8.215861,3.02,-0.004049848,0.001176877,-0.02104535,0
97,4.245349,8.310291,3.04,-0.01175292,-0.005728071,-0.02585234,0
98,4.296541,8.499526,2.998389,-0.01090251,0.001042995,-0.02472116,0
99,4.277284,8.353045,2.96,0.007731226,-0.01228514,-0.0081062,0
100,4.263094,8.243402,2.95,0.008987223,-0.006912502,-4.916697e-05,0
101,4.369028,8.186458,2.988229,-0.004148282,0.008888889,-0.00622142,0
102,4.420728,8.33318,2.999272,-0.007777778,0.003703773,-0.01465604,0
103,4.326337,8.549373,3.010892,-0.002572791,-0.01748544,-0.01070172,0
104,4.252558,8.354219,2.939668,0.01214873,-0.005257214,-0.005110235,0
105,4.401874,8.069063,2.915468,-0.002909348,0.01262323,-0.004799496,0
106,4.345819,8.143712,2.964649,-0.0121679,0.004498766,-0.009945678,0
107,4.294622,8.480252,3.085126,-0.01281677,0.005456464,-0.01606157,0
108,4.359801,8.520765,3.0,-0.003239667,0.00478925,-0.01043847,0
109,4.220239,8.19504,2.98008,0.006666667,0.001365569,-0.003476109,0
110,4.260358,8.180537,2.999821,-0.003884876,0.01500134,-0.0005542178,0
111,4.250111,8.406178,3.027978,-0.01424582,0.007917413,-0.005158304,0
112,4.334261,8.519304,3.003565,-0.007142769,0.002698324,-0.006698448,0
113,4.264851,8.388806,2.974851,-0.001407913,-0.005852357,0.0008143092,0
114,4.310754,8.176607,3.004812,0.008354895,0.00860033,0.008311772,0
115,4.266279,8.218024,3.038566,-0.01333333,0.006666667,0.0006231616,0
116,4.283885,8.409172,3.030414,-0.01001837,0.005537186,-0.001620743,0
117,4.45,8.359335,2.969867,-0.002658986,0.009808414,-0.004107271,0
118,4.385506,8.224494,2.934494,0.002133656,0.001977657,-0.004444444,0
119,4.204696,8.13749,2.986559,-0.004444444,0.01365286,-0.01190559,0
120,4.358025,8.39092,3.032895,-0.01440404,0.03775758,-0.008888889,0
121,4.423649,8.487964,3.01614,8.46526e-05,0.01043035,-0.006582014,0
122,4.229306,8.202573,2.979306,0.00860804,-0.005580121,-0.005006141,0
123,4.221227,8.198421,3.006841,-0.013842,0.009397554,-0.00998958,0
124,4.265103,8.31134,3.043557,-0.02057028,0.009400262,-0.01498527,0
125,4.207254,8.552418,3.056557,-0.02076564,0.0001200482,-0.01129118,0
126,4.231859,8.455662,3.07531,-0.006513207,0.002379036,-0.003810482,0
127,4.402496,8.19,3.039994,-0.002222222,0.01232421,0.001111111,0
128,4.298985,8.25,3.066328,-0.007777778,0.0060909,-0.003373757,0
129,4.200087,8.399652,3.020348,-0.01248022,0.0123612,-0.00900791,0
130,4.379582,8.520279,3.034652,-0.01016442,0.02476001,-0.004608864,0
131,4.393951,8.268159,2.992896,0.002342321,0.0003451824,-0.001366421,0
132,4.260477,8.235758,2.99368,-0.008447472,-0.007686467,-0.007732122,0
133,4.295328,8.284016,3.048032,-0.01148509,-0.003454382,-0.01345438,0
134,4.267498,8.298608,3.075833,-0.01555556,-0.002779824,-0.01477737,0
135,4.255381,8.430762,3.09,-0.004953752,-0.005006607,-0.01388228,0
136,4.241616,8.368384,3.076128,-0.00120271,0.0003663943,-0.00879729,0
137,4.222945,8.22137,3.042945,-0.002222222,0.002026553,-0.007254834,0
138,4.255367,8.324633,3.09,-0.008552187,0.00501684,-0.007777778,0
139,4.275989,8.504974,3.114011,-0.003311163,0.02224439,-0.007211137,0
140,4.119288,8.41274,3.14726,0.01221827,0.01888889,0.002216958,0
141,4.159436,8.164915,3.025197,0.01492362,0.04422134,0.0149401,0
142,4.428896,8.312226,2.987774,0.001207539,0.05777778,0.01275331,0
143,4.40911,8.390712,2.944733,-0.00193181,0.01159727,-0.004444444,0
144,4.214988,8.452665,3.012005,0.0006540403,-0.01006566,-0.004313131,0
145,4.046836,8.310334,3.013831,0.008087009,0.007526148,0.02197059,0
146,3.850698,8.411485,2.955742,0.009365709,0.002381897,0.04015527,0
147,3.811802,8.572346,2.942926,0.01333333,0.01771199,0.07630222,0
148,4.64797,8.715267,2.766691,0.0160408,0.04819967,0.09284809,0
149,3.720657,8.684844,2.9,0.02614393,-0.1001313,0.09337709,0
150,4.048393,7.814822,2.705201,0.04810129,-0.01655521,0.1383907,0
151,5.499378,8.191925,2.79472,-0.003533879,0.04735583,0.142017,0
152,4.308174,8.428188,3.236391,0.003309583,-0.09339028,0.09133431,0
153,3.90355,8.078126,3.295514,0.02275586,-0.08392112,0.07554782,0
154,4.179448,7.825927,3.285741,0.009362824,0.02287203,0.0835703,0
155,5.088889,7.979815,3.364815,0.009511907,0.1064285,0.04493254,0
156,4.920429,8.524794,3.363482,0.02466947,0.03797873,0.05038175,0
157,4.414949,8.459311,3.607959,0.1191132,-0.002284609,0.06280897,0
158,4.218573,7.732567,3.452428,0.1537043,0.01013323,0.07470916,0
159,4.662646,7.830116,3.676023,0.184162,-0.04013699,0.01514849,0
160,2.770214,8.468555,3.638555,0.2163152,-0.08027204,0.1259298,0
161,4.931522,8.394891,3.084601,0.2511111,0.2205109,0.1190885,0
162,5.332809,8.354158,2.852585,0.2503257,0.1997486,0.07653259,0
163,4.978148,8.196296,2.520953,0.2213974,0.1538966,-0.03718066,0
164,5.59633,8.13983,2.397287,0.2109061,0.189795,-0.09710978,0
165,5.374185,8.248404,2.107057,0.1932662,0.101872,-0.1142432,0
166,4.725507,8.205848,2.119238,0.1824293,0.08132773,-0.1069303,0
167,4.14655,8.194425,2.341325,0.1558644,0.2211269,-0.1015844,0
168,4.181651,8.231651,2.490825,0.1298658,0.3420998,-0.091392,0
169,3.850638,8.441107,2.840469,0.1189867,0.4429695,-0.09756456,0
170,4.359005,8.746399,3.042155,0.1319747,0.5412848,-0.1061717,0
171,4.709446,8.971237,2.857809,0.1611167,0.4603518,-0.1124986,0
172,3.667298,8.455406,2.857568,0.2218869,0.340328,-0.09651741,0
173,3.477664,8.153879,2.943107,0.2216109,0.5113656,-0.04400713,0
174,4.086684,8.249801,2.98788,0.2118438,0.6031723,-0.02962158,0
175,5.005292,8.287671,3.135728,0.195255,0.5521813,-0.07166209,0
176,4.857546,8.742454,3.130491,0.1822222,0.4134659,-0.1324052,0
177,4.381651,8.504299,3.034549,0.2176859,0.2521803,-0.2422641,0
178,4.596148,8.476962,2.874665,0.2180765,0.2004179,-0.2826764,0
179,4.162295,8.293263,2.596737,0.2029268,0.04321487,-0.358581,0
180,3.603918,8.329376,2.616932,0.1854757,-0.0005083374,-0.3861438,0
181,3.014639,8.481238,2.881959,0.1724706,0.07712926,-0.4057281,0
182,3.444264,8.66539,2.987078,0.1647935,0.158842,-0.4121669,0
183,4.113255,9.033087,3.250285,0.2005469,0.1467293,-0.4418565,0
184,4.308396,8.813921,3.118673,0.2260967,0.004262024,-0.4540645,0
185,3.431482,8.23802,3.21735,0.2728677,-0.1930893,-0.4911304,0
186,3.116042,8.128601,3.27256,0.2978893,-0.2138909,-0.5225528,0
187,2.969744,8.193847,3.005641,0.2810457,-0.1906971,-0.5594337,0
188,2.740719,8.508048,2.830103,0.2752536,-0.1984843,-0.5819143,0
189,2.379819,8.964622,2.574079,0.2835991,-0.211425,-0.6242269,0
190,1.889617,9.413461,2.461154,0.3085984,-0.216188,-0.6316068,0
191,1.901418,9.39647,2.347371,0.3793327,-0.1453341,-0.638445,0
192,1.956762,9.384477,2.221906,0.4075771,-0.1565663,-0.6078187,0
193,1.29787,9.018853,1.980164,0.4204164,-0.1684706,-0.5015199,0
194,0.777927,8.687177,1.95075,0.4121882,-0.09902819,-0.4219028,0
195,1.25297,8.442978,1.994044,0.3800799,0.131381,-0.3425967,0
196,2.461209,9.374768,1.787794,0.3429098,0.1569308,-0.3358113,0
197,2.482339,9.81,1.349677,0.3495935,-0.1333602,-0.3314959,0
198,1.567434,9.553877,1.230107,0.3646989,-0.2926836,-0.3300696,0
199,0.06226715,8.830781,1.231562,0.331132,-0.2014502,-0.2817324,0
200,0.5647113,8.40836,1.343949,0.3129744,0.03994856,-0.26151,0
201,1.621812,9.195235,1.178591,0.2400548,0.2618735,-0.2134155,0
202,1.858014,15.39158,0.3753309,0.2151143,0.2022823,-0.2067592,0
203,-0.1529701,9.927669,0.9342307,0.708893,0.2682575,-0.09754816,0
204,1.504024,7.701431,0.791789,0.5912752,0.6323357,0.1684473,0
205,3.758386,8.898011,0.3729683,0.462585,0.5608862,0.03274488,0
206,3.038974,9.960476,0.5851648,0.4884803,0.2761511,-0.08142318,0
207,1.332359,9.838309,0.6494363,0.4955655,0.1863791,-0.08379956,0
208,1.789608,9.612598,0.4401306,0.4823395,0.2528644,-0.073985,0
209,2.557648,9.572664,0.1850168,0.4763569,0.2036713,-0.09724926,0
210,2.444717,9.630113,0.1049811,0.4722222,0.06561036,-0.1278431,0
211,1.716635,9.676669,0.02333145,0.4488171,-0.05517943,-0.1652809,0
212,1.545556,9.627778,-0.02222207,0.4316911,-0.05901466,-0.1702027,0
213,1.481461,9.581011,-0.07,0.4087991,-0.02355412,-0.1822222,0
214,1.445897,9.600514,-0.1164112,0.3966766,-0.02355157,-0.1837798,0
215,1.252175,9.66,-0.1465214,0.3844758,-0.03663533,-0.1775235,0
216,1.201826,9.655913,-0.2073027,0.3802413,-0.02879156,-0.1721736,0
217,1.308282,9.650859,-0.369141,0.3670272,-0.01434392,-0.1688889,0
218,1.38705,9.661583,-0.4688502,0.3517184,-0.03834749,-0.1728955,0
219,1.207126,9.642575,-0.7040115,0.3307305,-0.1009454,-0.1738858,0
220,0.9925306,9.692731,-0.7558231,0.3156595,-0.1187849,-0.1709201,0
221,0.6801557,9.669257,-0.7425389,0.2833155,-0.1092355,-0.15184,0
222,0.6437775,9.635951,-0.6897283,0.2729953,-0.06657102,-0.1367636,0
223,0.8473114,9.628852,-0.8857705,0.2482198,-0.02718438,-0.1124054,0
224,0.8628122,9.638751,-0.9737462,0.2371381,-0.03186406,-0.09898385,0
225,0.7622654,9.680442,-1.067735,0.2097626,-0.05711976,-0.07754043,0
226,0.6711816,9.684409,-1.055591,0.195015,-0.04699368,-0.06371373,0
227,0.6463728,9.653834,-1.081917,0.170827,-0.006240442,-0.04256467,0
228,0.8414996,9.6178,-1.2083,0.1546861,-0.0007761031,-0.03119167,0
229,0.6820353,9.659824,-1.254071,0.1153254,-0.04,-0.00632138,0
230,0.495863,9.664137,-1.235863,0.09680869,-0.03463381,0.01063028,0
231,0.5136214,9.646379,-1.263621,0.06499111,0.02843302,0.03588318,0
232,0.6812039,9.680175,-1.305689,0.03861255,0.04798503,0.05013817,0
233,0.8059059,9.74,-1.350157,0.004153599,0.04879194,0.0656525,0
234,0.7596258,9.84328,-1.324403,-0.01681938,0.0538762,0.0721035,0
235,0.3980741,10.01723,-0.9953037,0.01044957,0.1048684,0.02390085,0
236,0.9369575,10.43348,-0.6061387,-0.01822881,0.2132789,0.07139744,0
237,2.896008,9.791675,0.1578113,-0.1377904,0.1339807,0.03769878,0
238,3.96232,10.01912,-0.04598591,-0.5493733,-0.1826509,0.07468411,0
239,2.546381,12.71183,-0.487925,-1.071352,-0.758879,0.02851907,0
240,-0.2588168,11.92103,-0.7141221,-1.024971,-0.6742755,0.06570618,0
241,-0.5087076,7.808022,0.8903099,-0.7834746,-0.3226005,-0.001987636,0
242,0.3324913,4.273773,1.58652,-1.185497,-0.03232565,0.01080101,0
243,2.456771,5.514661,2.383177,-2.099457,-0.1857438,0.280786,0
244,2.177011,4.773819,2.553568,-2.462512,-0.275479,0.4291773,0
245,2.876109,5.538818,2.822218,-3.001708,-0.3360907,0.624815,0
246,2.57709,5.781455,3.350462,-3.155008,-0.4382857,0.6789722,0
247,0.7973194,4.898655,3.957118,-3.257925,-0.4345556,0.7363352,0
248,1.163484,4.897678,4.013355,-3.31611,-0.2172277,0.7883324,0
249,3.32487,5.700331,3.977363,-3.187913,-0.09526888,0.7276664,0
250,2.943235,4.703492,5.087427,-3.133542,-0.239791,0.6491439,0
251,17.02866,36.37112,5.920367,-2.977436,-0.7730388,-0.1124945,0
252,-12.0968,-1.622676,4.532133,2.158306,-3.178796,-1.276556,0
253,-10.32292,0.2148111,11.03308,0.02715218,1.600194,-0.2698117,0
254,6.223158,10.148,7.240189,-0.5685503,3.042899,-0.1861059,0
255,8.384444,0.954282,2.805219,0.4209846,-0.08563694,0.2031597,0
256,4.401235,8.529679,4.283441,-0.3493918,-0.7725796,0.1219045,0
257,-2.00102,7.286141,4.677372,-0.04124528,-0.8576766,-0.2054167,0
258,-0.8037646,8.32186,3.911723,-0.1131818,-0.3365466,-0.249006,0
259,1.543742,5.835572,4.536743,-0.2212609,-0.09253683,-0.1262996,0
260,0.8471369,4.704079,4.821068,-0.3445338,-0.1871603,-0.05992164,0
261,0.1548059,16.58537,7.622832,-0.7076143,0.2424863,0.06590612,0
262,0.7461829,18.13112,8.10367,0.02693305,0.3857075,0.1380634,0
263,2.507117,4.742605,4.08586,-0.3126069,0.4588686,0.3390407,0
264,2.934966,7.6803,4.455024,-0.3445361,0.3777665,0.2375719,0
265,2.117055,8.527262,4.919793,-0.3201903,0.09357292,0.09793737,0
266,0.9771286,7.613336,4.827643,-0.3199386,0.026326,0.1263874,0
267,-1.029895,7.928125,6.395229,-0.2994446,0.3487248,0.1090687,0
268,-0.5245314,9.172298,6.712404,-0.1790986,0.7951376,0.2160109,0
269,3.147719,6.121678,7.482647,-0.05324116,1.287258,0.3212789,0
270,7.406483,7.620943,6.844559,-0.1400987,1.21515,0.2189555,0
271,5.862453,7.327274,5.780337,-0.1238828,-0.2172379,-0.05380319,0
272,2.060565,6.859953,5.570047,-0.1662822,-0.5528385,-0.2284776,0
273,0.01296149,7.097841,6.452103,-0.1652439,-0.1714962,-0.1993614,0
274,0.7175449,7.117545,6.496476,-0.1907542,0.1564063,-0.1122743,0
275,2.498623,7.223698,6.627148,-0.1258374,0.391889,-0.1461735,0
276,2.944523,7.752062,6.433215,-0.1282862,0.2984553,-0.1508852,0
277,2.125321,7.39307,6.896521,-0.03602699,0.03772513,-0.2476313,0
278,2.030019,7.663475,7.323475,0.02149376,-0.01008119,-0.2638821,0
279,1.372939,7.124324,7.14076,0.1375306,-0.1104931,-0.287716,0
280,1.227918,7.418566,7.296006,0.1715214,-0.07737158,-0.2785116,0
281,1.328505,7.542243,7.221744,0.327351,-0.01486364,-0.2597626,0
282,1.254171,7.46,7.206492,0.4121161,-0.03792893,-0.24904,0
283,1.676409,7.726409,6.965521,0.5327647,-0.07160337,-0.2401673,0
284,1.474287,7.974921,6.522302,0.5724013,-0.154395,-0.2474596,0
285,1.424423,7.575312,6.024991,0.6153461,-0.1951378,-0.2434019,0
286,1.627411,8.336341,5.895178,0.6343476,-0.2495212,-0.2150164,0
287,0.5381815,7.469206,5.439246,0.7464275,-0.3156135,-0.2609879,0
288,0.6332251,7.950814,4.59504,0.6637503,-0.2486002,-0.2198585,0
289,0.2113881,8.214671,4.69863,0.6459945,-0.1825189,-0.1548834,0
290,0.0,7.830563,4.465975,0.5816064,-0.1121441,-0.09418223,0
291,0.1020564,8.236636,4.155046,0.5108645,0.06125049,0.02026803,0
292,-0.03621894,8.534055,4.568383,0.4979372,0.0801172,0.07319264,0
293,0.341447,7.999594,4.54181,0.507526,0.248355,0.1237569,0
294,1.356448,8.833078,4.15871,0.4602446,0.2044075,0.1778415,0
295,0.8415638,8.219619,4.541209,0.5233022,0.08260955,0.1414362,0
296,1.822736,8.142736,3.7366,0.3896828,0.134669,0.1762465,0
297,1.926692,8.663694,4.582413,0.4564687,-0.04541756,0.08288856,0
298,2.071393,7.767208,4.453723,0.3508567,-0.1046078,0.05715453,0
299,1.081094,9.37291,3.982246,0.3148108,-0.3482645,0.005124707,0
300,-0.165581,8.03785,4.499835,0.3867433,-0.3033175,0.01800776,0
301,1.258508,8.817398,3.603339,0.2699446,0.009341882,0.07686545,0
302,1.053842,9.288204,3.865644,0.3135489,-0.0449044,0.09886158,0
303,1.415941,8.405973,3.486028,0.2259257,0.1180248,0.1091006,0
304,2.255724,9.059941,3.222108,0.2033333,0.09411719,0.1111688,0
305,1.020713,8.766998,3.829381,0.2167898,-0.05353894,0.06234594,0
306,1.542806,8.456725,3.542387,0.154663,0.02388308,0.07410167,0
307,2.032241,9.327427,3.459585,0.1398212,-0.1207013,0.04238614,0
308,1.327253,8.55,3.880503,0.1315393,-0.1364158,0.01367282,0
309,1.746604,8.904912,3.592233,0.1050784,-0.1614481,0.01602936,0
310,1.201116,9.043404,3.681756,0.1086704,-0.2264482,0.01264612,0
311,0.9126069,8.689364,3.951848,0.1314849,-0.07958943,0.04298826,0
312,1.728734,8.940926,4.027284,0.1382606,-0.02733737,0.05872121,0
313,2.136785,8.750563,3.888163,0.1698549,-0.09732879,0.03289796,0
314,1.856687,9.021195,3.909728,0.1796414,-0.1619274,0.01353575,0
315,1.319789,8.793768,3.827905,0.2167474,-0.1780588,-0.0108301,0
316,1.396763,8.851173,3.77735,0.2375636,-0.139483,0.004113112,0
317,1.983216,8.950209,3.376993,0.2284857,-0.1316127,0.007132684,0
318,1.96,9.003327,3.226637,0.2249659,-0.170997,-0.00845775,0
319,1.393933,9.115244,3.094884,0.2475505,-0.1923709,-0.02955386,0
320,1.387868,8.938247,2.812322,0.2073884,-0.1473641,-0.01384424,0
321,1.69505,9.103816,3.050927,0.2101663,-0.109007,-0.01742349,0
322,2.064707,8.931363,2.827987,0.1741765,-0.1260109,-0.008982574,0
323,1.749634,9.479878,2.778134,0.1683114,-0.2545893,-0.0404224,0
324,1.32,9.084431,2.852324,0.1769419,-0.2340049,-0.04012118,0
325,1.897291,9.088395,2.841104,0.1074986,-0.2264917,-0.02027918,0
326,1.927812,9.448925,3.091286,0.1255083,-0.2728251,-0.02716312,0
327,1.298663,8.950476,2.821575,0.12421,-0.262553,-0.005873481,0
328,1.482192,9.421633,2.959552,0.09855591,-0.1807167,0.02344551,0
329,2.346031,8.950786,2.831984,0.1184175,-0.1717867,0.01391695,0
330,2.293813,9.011401,2.682607,0.09419813,-0.2482017,0.004736526,0
331,1.323187,9.177467,2.732227,0.08571803,-0.2703946,0.00988395,0
332,1.283073,9.215844,2.883073,0.07759424,-0.1929071,0.03928555,0
333,1.653133,9.197945,2.955514,0.09391864,-0.1342103,0.07046824,0
334,1.833041,9.087577,2.668171,0.09391506,-0.1214456,0.07693136,0
335,2.104077,9.425323,2.884892,0.09352911,-0.1102112,0.06931135,0
336,2.230077,9.159904,2.946673,0.1134719,-0.109166,0.0554145,0
337,2.804991,9.154906,2.725009,0.09472481,-0.2164514,0.0247692,0
338,2.13754,9.234634,2.850995,0.1180986,-0.2950976,-3.443394e-05,0
339,1.832455,9.168421,2.73,0.1114501,-0.2631826,-0.004500936,0
340,2.173794,9.339407,2.860672,0.1243296,-0.2453026,-0.0002451833,0
341,2.64,9.263771,2.93,0.1536548,-0.3191383,-0.03338321,0
342,2.238957,9.211995,2.91,0.1752667,-0.3951167,-0.04479444,0
343,1.902625,9.388281,2.610406,0.1930533,-0.3880858,-0.04122312,0
344,2.264413,9.341802,2.292854,0.2033333,-0.4024762,-0.0369127,0
345,2.005096,9.411283,1.98123,0.2191641,-0.4902647,-0.05749217,0
346,1.52045,9.2619,1.9876,0.2125582,-0.4489701,-0.05018424,0
347,2.354928,9.763039,2.154324,0.238184,-0.3031706,-0.04260155,0
348,2.64,9.413975,2.207358,0.2593494,-0.3368167,-0.04988488,0
349,2.656177,9.128294,2.227235,0.2253096,-0.3997788,-0.07951627,0
350,2.107422,9.18907,2.046737,0.2461294,-0.473428,-0.09984029,0
351,1.06537,9.18142,1.857407,0.2588823,-0.4087519,-0.08440483,0
352,0.8605174,9.273678,1.621586,0.2422192,-0.2270147,-0.03332724,0
353,1.782453,9.572945,0.9329449,0.2115476,-0.08011845,0.02115103,0
354,1.82301,9.308367,0.7330099,0.1586877,-0.0616098,0.03835519,0
355,2.091785,9.228826,0.1553055,0.01973627,-0.1016114,0.04133572,0
356,1.913213,9.230155,0.09461153,-0.0728184,-0.1131236,0.02831861,0
357,1.320542,9.374469,0.1944694,-0.1810431,-0.05507716,0.03887581,0
358,0.4202613,9.31762,0.4324238,-0.2700267,0.202499,0.1162228,0
359,0.7862879,9.48933,0.477062,-0.3748281,0.6407982,0.2462508,0
